Description,Price,Rate,Review Counts,URL,Image
"65W Laptop Charger for HP Pavilion x360 11 13 15, Envy x360 13 15 17, 15-f111dx 15-f211wm 15-f233wm 15-f278nr 15-r052nr 15-r132wm Power Cord 19.5V 3.33A Charging Cord",$12.57,4.4 out of 5 stars,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09632352LYK70T6I3LXY&qualifier=1672898411&id=5745866307695524&widgetName=sp_atf&url=%2FCompatible-15-1039wm-15-1033wm-15-w117cl-15-w237cl%2Fdp%2FB08JHYX5XS%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dlaptop%2Bcharger%26qid%3D1672898411%26sr%3D8-1-spons%26psc%3D1%26smid%3DAIJ5GN3RZJLRO,https://m.media-amazon.com/images/I/71PSZzZNd8L._AC_UY218_.jpg
45W Type C USB C Laptop Charger Compatible with HP Chromebook 11 11A 13 14 14A G5 X360 14-ca061dx 14-ca020nr 14-ca060nr 14-ca043cl 14-ca052wm 14-ca051wm Power Supply,$12.97,4.5 out of 5 stars,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00425901NQKF4XEC7WAS&qualifier=1672898411&id=5745866307695524&widgetName=sp_atf&url=%2FCompatible-Chromebook-14-ca061dx-14-ca020nr-14-ca060nr%2Fdp%2FB07M9WSZD3%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dlaptop%2Bcharger%26qid%3D1672898411%26sr%3D8-2-spons%26psc%3D1%26smid%3DA3KBS7FVTN1IHA,https://m.media-amazon.com/images/I/71Q8HNyetDL._AC_UY218_.jpg
45W 19.5V 2.31A AC Adapter Replacement HP Laptop Charger Compatible for HP Pavilion 11 13 15;HP elitebook Folio 1040 g1;hp touchsmart 11 13 15;HP Stream 13 11 14,$11.97,4.6 out of 5 stars,,https://www.amazon.com//Replacement-Compatible-Pavilion-elitebook-touchsmart/dp/B09SFR4FDR/ref=sr_1_3?keywords=laptop+charger&qid=1672898411&sr=8-3,https://m.media-amazon.com/images/I/71Yj5HyJoNL._AC_UY218_.jpg
90w Universal Ac Laptop Charger Power Adapter for Hp Compaq Dell Acer Asus Toshiba IBM Lenovo Samsung Sony Fujitsu Gateway Notebook Ultrabook,$19.90,4.5 out of 5 stars,,https://www.amazon.com//Universal-Charger-Adapter-Notebook-Ultrabook/dp/B012NQ4KPY/ref=sr_1_4?keywords=laptop+charger&qid=1672898411&sr=8-4,https://m.media-amazon.com/images/I/51Q5F-XkPbS._AC_UY218_.jpg
POWSEED Universal Laptop Charger 45W Power Adapter for Dell hp Acer Asus Samsung Sony Toshiba FUJITSU Delta NEC Liteon and More chromebooks ultrabook Laptop Notebook Computer,$16.99,3.9 out of 5 stars,,https://www.amazon.com//Universal-chromebooks-laptopsk-ultrabook-Computer/dp/B08ZCGBXTN/ref=sr_1_5?keywords=laptop+charger&qid=1672898411&sr=8-5,https://m.media-amazon.com/images/I/71VvM5sTOHS._AC_UY218_.jpg
45W USB C Charger Compatible with Hp/Dell/Lenovo/Acer chromebook/Asus/Samsung/Sony Charger Fast Charging Type C AC Adapter Power Cord Supply,$11.99,4.1 out of 5 stars,,https://www.amazon.com//Charger-Compatible-chromebook-Samsung-Charging/dp/B0B2853GJT/ref=sr_1_6?keywords=laptop+charger&qid=1672898411&sr=8-6,https://m.media-amazon.com/images/I/61H2PCRVL2L._AC_UY218_.jpg
90W ETL Certification Universal AC Adapter Laptop Charger Compatible with Dell HP Acer Asus Lenovo IBM Toshiba Samsung Sony Fujitsu Gateway Notebook Ultrabook Chromebook Power Supply Cord with 16 Tips,$17.75,4.4 out of 5 stars,,https://www.amazon.com//Certification-Universal-Compatible-Ultrabook-Chromebook/dp/B09NM28SB4/ref=sr_1_7?keywords=laptop+charger&qid=1672898411&sr=8-7,https://m.media-amazon.com/images/I/71bHcNm+J5L._AC_UY218_.jpg
"45W 19.5V 2.31A for HP Laptop Charger Blue Tip, HP Pavilion x360 11 13 15, Zbook 14u G4 G5 15u 15 G3, 15-f111dx 15-f211wm 15-f233wm 15-f278nr 15-r052nr 15-r132wm with Power Cord",$8.99,4.5 out of 5 stars,,https://www.amazon.com//Compatible-15-f111dx-15-f211wm-15-f233wm-15-f278nr/dp/B09W565TW2/ref=sr_1_8?keywords=laptop+charger&qid=1672898411&sr=8-8,https://m.media-amazon.com/images/I/61O3I4-u0IL._AC_UY218_.jpg
ZOZO 90W AC Laptop Charger for HP Dell Toshiba IBM Lenovo Acer ASUS Samsung Sony Fujitsu Gateway Notebook Ultrabook Chromebook DC Output 15V 16V 18.5V 19V 19.5V 20V Power Adapter Supply Cord,$22.99,4.4 out of 5 stars,,https://www.amazon.com//ZOZO-Universal-Notebook-Ultrabook-Chromebook/dp/B0132ST35Y/ref=sr_1_9?keywords=laptop+charger&qid=1672898411&sr=8-9,https://m.media-amazon.com/images/I/81R9Nq6RugL._AC_UY218_.jpg
65W 45W USB C Laptop Power Replacement Adapter Charger for Lenovo Chromebook/Yoga/ThinkPad L580 L590 E580 E585 P43s P53s with Power Cord,$15.95,4.4 out of 5 stars,,https://www.amazon.com//Adapter-Charger-Chromebook-IdeaPad-ThinkPad/dp/B093V1XBJS/ref=sr_1_10?keywords=laptop+charger&qid=1672898411&sr=8-10,https://m.media-amazon.com/images/I/71dPHTRusTS._AC_UY218_.jpg
USB C Laptop Charger 65W 45W for Lenovo Chromebook 100e 300e 500e C330 S330 ThinkPad T480 T480s T580 T580s E480 E580 Yoga A485 T490S T590 C930 C940 13 IdeaPad 730s AC Adapter Power Supply,$26.98,4.5 out of 5 stars,,https://www.amazon.com//Charger-ThinkPad-Chromebook-100e-IdeaPad/dp/B088T52KZD/ref=sr_1_11?keywords=laptop+charger&qid=1672898411&sr=8-11,https://m.media-amazon.com/images/I/71b6X+LJeaL._AC_UY218_.jpg
"USB C Charger,155W USB C Charging Station Laptop Charger 6-Port Portable USB C Wall Fast Charger USB C Power Adapter for MacBook Pro/Air,iPad Pro,iPhone 14/13/Mini/Pro/13Pro Max/12 Samsung Galaxy Note",$56.99,4.3 out of 5 stars,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05049151O7ILEFL1OUF0&qualifier=1672898411&id=5745866307695524&widgetName=sp_mtf&url=%2FCharger-Charging-Station-Portable-Adapter%2Fdp%2FB0BLBM8V95%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dlaptop%2Bcharger%26qid%3D1672898411%26sr%3D8-12-spons%26psc%3D1,https://m.media-amazon.com/images/I/518bsEJgdOL._AC_UY218_.jpg
90w Universal Laptop Charger ETL Ac AdapterCompatible with Dell Hp Lenovo IBM Toshiba Acer Asus Samsung Sony Fujitsu Gateway Notebook Ultrabook Chromebook with 3 USB Ports 16 Tips,$18.99,4.3 out of 5 stars,,https://www.amazon.com//Universal-AdapterCompatible-Notebook-Ultrabook-Chromebook/dp/B0B4NCQW1D/ref=sr_1_13?keywords=laptop+charger&qid=1672898411&sr=8-13,https://m.media-amazon.com/images/I/61XaHyg8vlL._AC_UY218_.jpg
